first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
False,A,2011,6,0,0,NEUROLOGY,2013,0,Post
False,A,2011,3,0.373875,0,J. EDUC. PSYCHOL. CONSULT.,2015,0,Post
False,A,2011,2,0.372380952380952,0,DATA MIN. KNOWL. DISCOV.,2016,0,Post
False,A,2011,3,0.116063492063492,0,IEEE SIGNAL PROCESS. MAG.,2017,0,Post
False,A,2011,5,0,0,J. NEUROSURG.,2012,0,Post
False,A,2011,5,0,0,J. NEUROTRAUMA,2015,0,Post
False,A,2011,10,0,0,NEUROLOGY,2012,0,Post
False,A,2011,7,0.162009615384615,0,PATTERN RECOGNIT.,2017,0,Post
False,A,2011,10,0,0,NEUROLOGY,2012,0,Post
False,A,2011,7,0,0,J. NEUROTRAUMA,2016,0,Post
False,A,2011,5,0,0,NEUROLOGY,2013,0,Post
False,A,2011,3,0.209844444444444,0,EDUC. REV.,2017,0,Post
False,A,2011,7,0,0,IEEE TRANS. MULTIMEDIA,2012,0,Post
False,A,2011,10,0,0,NEUROLOGY,2012,0,Post
False,A,2011,10,0,0,SIGMOD REC.,2015,0,Post
False,A,2011,3,0.174635593220339,0,KNOWL. INF. SYST.,2016,0,Post
False,A,2011,4,0.312909836065574,0,CMES-COMP. MODEL. ENG. SCI.,2016,0,Post
False,A,2011,3,0.497532608695652,0,J. MED. IMAGING,2017,0,Post
False,A,2011,5,0.470240963855422,0,PLOS ONE,2016,0,Post
False,A,2011,6,0.421222222222222,0,ARCH. NEUROSCI.,2016,0,Post
False,A,2011,4,0.180490566037736,0,SOC. NETW. ANAL. MIN.,2016,0,Post
False,A,2011,4,0.454329770992366,0,SCI. ENG. ETHICS,2017,0,Post
False,A,2011,4,0.412016666666667,0,J. ELECTRON. IMAGING,2015,0,Post
False,A,2011,3,0,0,INF. SCI.,2014,0,Post
False,A,2011,2,0.620436440677966,0,NANOETHICS,2017,0,Post
False,A,2011,2,0.300995133819951,0,SUSTAINABILITY,2016,0,Post
False,A,2011,4,0,0,J. CARDIOVASC. NURS.,2014,0,Post
False,A,2011,2,0.105181818181818,0,ENERGIES,2014,0,Post
False,A,2011,2,0.368776536312849,0,SOCIETIES,2016,0,Post
False,A,2011,10,0,0,NEUROLOGY,2012,0,Post
False,A,2011,14,0,0,IEEE TRANS. KNOWL. DATA ENG.,2016,0,Post
False,A,2011,5,0,0,NEUROLOGY,2013,0,Post
False,A,2011,2,0,1,DES. CULT.,2014,0.25,Post
False,A,2011,6,0.556980392156863,1,IEEE TRANS. BIOMED. ENG.,2012,0.166666666666667,Post
False,A,2011,3,0.35875,1,IEEE TECHNOL. SOC. MAG.,2015,0.333333333333333,Post
False,A,2011,2,0.553808510638298,1,TECHNOLOGIES,2015,0.333333333333333,Post
False,A,2011,3,0.706581395348837,1,EUR. PHYS. J.-SPEC. TOP.,2017,1,Post
False,A,2011,3,0.057393939393939,1,PROC. VLDB ENDOW.,2015,0.333333333333333,Post
False,A,2011,11,0.257255319148936,1,INT. J. NEUROSCI.,2014,0.25,Post
False,A,2011,4,0.321292307692308,1,EXP. BRAIN RES.,2015,0.333333333333333,Post
